"manufacturer","model","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
SIKORSKY,S-76A,841,0,0.0,335,0.3983353151010702,11.261593341260404
STINNETT RON,FALCON XP,2647,0,0.0,1009,0.38118624858330186,9.206271250472232
AERO COMMANDER,1121,415,0,0.0,187,0.4506024096385542,13.809638554216868
AEROSPATIALE,ATR 72-212,11794,458,0.037381651975187724,5406,0.4583686620315415,17.14693912158725
AIRBUS,A319-111,58529,590,0.009979871107427393,24948,0.42625023492627584,5.117258111363597
AIRBUS,A320-212,2827,19,0.0066760365425158116,1057,0.37389458790237,6.540502299257163
AIRBUS INDUSTRIE,A320-211,68462,1484,0.021216366911617532,29106,0.4251409541059274,10.033332359557127
BAUMAN RANDY,FALCON-XP,1743,0,0.0,722,0.4142283419391853,9.374641422834195
BEECH,E-90,416,0,0.0,163,0.3918269230769231,7.072115384615385
BOEING,737-2P6,2745,4,0.0014550745725718443,591,0.21530054644808744,-1.6193078324225865
BOEING,737-301,22818,0,0.0,10626,0.46568498553773335,9.372206153037077
BOEING,737-3B7,52123,47,9.009009009009009E-4,23960,0.45968190626019223,8.749285344281795
BOEING,737-3L9,5286,0,0.0,2736,0.5175936435868331,11.917139614074914
BOEING,737-3TO,109803,0,0.0,45662,0.4158538473447902,9.725308051692577
BOEING,737-790,24645,328,0.01313418491971329,8651,0.35102454858997767,5.642970176506391
BOEING,757-224,38882,0,0.0,18456,0.47466694100097734,10.75358777840646
BOEING,757-251,101769,2046,0.01970813466262101,46460,0.4565240888679264,11.641737660780787
BOEING,757-2G7,6272,87,0.013681396445982073,3541,0.5645727040816326,18.744579081632654
BOEING,757-2S7,12715,229,0.01769159456118665,7220,0.5678332677939442,18.944239087691702
BOEING,767-223,12746,0,0.0,4683,0.3674093833359485,9.365761807625923
BOEING,767-322,24667,19,7.696670177428502E-4,10660,0.432156322211862,9.169295009526898
BOEING,767-3G5,2032,0,0.0,738,0.3631889763779528,7.3420275590551185
BOEING,777-222,21484,18,8.371314296344527E-4,11349,0.5282535840625582,10.931995903928504
BOMBARDIER INC,CL-600-2C10,256719,2628,0.010133142083771935,119063,0.4637872537677383,15.29872350702519
MCDONNELL DOUGLAS,DC-9-82(MD-82),383083,0,0.0,144106,0.3761743538606516,8.193824836915237
MCDONNELL DOUGLAS,MD-90-30,49841,1028,0.020208771550453124,17635,0.35382516402158865,4.693445155594792
MORSE GEORGE JR,F85P-1,1633,0,0.0,672,0.41151255358236377,10.091243110838947
AIRBUS,A319-112,8265,96,0.011481880157875853,3555,0.4301270417422868,5.53708408953418
AIRBUS INDUSTRIE,A319-111,4940,49,0.009821607536580478,2213,0.4479757085020243,6.175101214574899
AIRBUS INDUSTRIE,A320-212,79944,1457,0.01789904300929964,32331,0.40442059441609124,8.344566196337436
AIRBUS INDUSTRIE,A321-211,11646,0,0.0,6289,0.5400137386227031,9.45414734672849
BEECH,C90,2652,0,0.0,1003,0.3782051282051282,8.64291101055807
BOEING,737-230,2368,6,0.002527379949452401,397,0.16765202702702703,-2.1330236486486487
BOEING,737-236,4477,19,0.004225978647686833,939,0.20973866428411883,-0.8105874469510833
BOEING,737-282C,6,0,0.0,0,0.0,-5.166666666666667
BOEING,737-317,10108,0,0.0,5250,0.5193905817174516,11.580925999208548
BOEING,737-33A,14535,215,0.014576271186440677,5754,0.3958720330237358,9.943653250773993
BOEING,737-3S3,14815,221,0.01469805799414738,5857,0.3953425582180223,9.061964225447182
BOEING,737-401,45788,0,0.0,20250,0.4422556128243208,7.672337730409715
BOEING,737-4B7,67755,0,0.0,29678,0.4380193343664674,7.685469707032691
BOEING,737-524,138572,0,0.0,49596,0.3579078024420518,8.975593915076638
BOEING,737-7H4,54877,0,0.0,25634,0.46711737157643457,10.20873954480019
BOEING,737-890,7515,26,0.0034478185916987135,3654,0.48622754491017967,10.428343313373254
BOEING,747-451,115,0,0.0,95,0.8260869565217391,24.765217391304347
BOEING,757-225,10043,150,0.014715981555969784,5835,0.5810016927212984,17.533306780842377
BOEING,757-2B7,5391,0,0.0,2955,0.5481357818586533,11.405490632535708
BOEING,757-324,10089,0,0.0,4976,0.49321042719793834,12.524928139557934
BOEING,757-351,20612,62,0.002998935861468511,7698,0.37347176402095866,7.211818358237919
BOEING,767-224,2045,0,0.0,1109,0.5422982885085574,11.577506112469438
BOEING,767-323,10830,0,0.0,4423,0.40840258541089564,10.194644506001847
BOEING,767-332,61020,465,0.007562820200048792,33897,0.5555063913470993,8.875254015077024
BOEING,777-232,579,7,0.011945392491467578,455,0.7858376511226253,21.6580310880829
CESSNA,150,2471,0,0.0,944,0.3820315661675435,9.198704977741805
DEHAVILLAND,OTTER DHC-3,2540,0,0.0,883,0.3476377952755906,7.814566929133858
MCDONNELL DOUGLAS,DC-9-31,3259,94,0.028034595884282733,1072,0.32893525621356245,7.128567045105861
MCDONNELL DOUGLAS CORPORATION,MD-88,54056,1221,0.022088753007580005,21259,0.3932773420156874,6.9495708154506435
PIPER,PA-32R-300,2537,0,0.0,1004,0.39574300354749703,8.994481671265273
