year,lat,long,num_flight,num_cancl,r_cancl,num_dely,r_dely,avg_dely
2006,32.69284944,-83.64921083,1040,51,0.046746104,263,0.252884615,10.65480769
2006,33.369955,-81.96449611,2220,112,0.048027444,872,0.392792793,16.10855856
2006,33.45370806,-93.99102,1066,28,0.02559415,254,0.238273921,4.652908068
2006,33.66363889,-101.8227778,9188,139,0.01490297,2965,0.322703526,6.999129299
2006,34.20061917,-118.3584969,31675,427,0.013301352,11911,0.376037885,7.456574586
2006,34.99147222,-78.88,1522,26,0.016795866,785,0.515768725,19.15111695
2006,35.2193725,-101.7059272,8309,186,0.021895232,2566,0.30882176,6.464917559
2006,37.64995889,-97.43304583,12301,471,0.036877545,4198,0.341273067,9.777335176
2006,37.85830556,-80.39947222,193,1,0.005154639,91,0.471502591,17.17098446
2006,38.03697222,-84.60538889,9178,226,0.024032327,2420,0.263674003,8.209740684
2006,38.36666667,-82.55802778,630,11,0.017160686,80,0.126984127,-1.276190476
2006,39.29663889,-80.22808333,1,0,0,1,1,20
2006,39.90237583,-84.219375,13243,238,0.017654477,4308,0.325303934,8.344785925
2006,40.47798556,-88.91595278,4322,213,0.046968026,1638,0.378991208,16.67283665
2006,41.33814944,-75.7242675,2519,72,0.027788499,834,0.331083763,14.39857086
2006,42.08202139,-80.17621556,882,10,0.011210762,181,0.20521542,2.235827664
2006,42.234875,-85.5520575,4599,216,0.044859813,1072,0.233094151,6.217221135
2006,42.90835556,-106.4644661,3170,45,0.01399689,930,0.293375394,3.636908517
2006,43.56444444,-116.2227778,16994,120,0.007011803,5253,0.309109097,5.608861951
2006,44.04532139,-103.0573708,4827,111,0.022478736,1304,0.270147089,4.66107313
2006,44.47300361,-73.1503125,6695,174,0.025331198,2643,0.394772218,13.81628081
2006,46.26468028,-119.1190292,2296,33,0.014169171,707,0.307926829,3.279616725
2006,46.37449806,-117.0153944,725,0,0,149,0.205517241,-0.904827586
2006,48.25937778,-101.2803339,1081,9,0.008256881,186,0.172062905,-1.32839963
2006,56.48432583,-132.3698242,701,25,0.034435262,224,0.319543509,6.934379458
2006,59.50336056,-139.6602261,709,17,0.023415978,173,0.244005642,-1.225669958
2006,66.88467694,-162.5985497,1032,55,0.050597976,491,0.475775194,11.4622093
2006,71.2854475,-156.7660019,659,23,0.03372434,300,0.455235205,10.68740516
1998,17.70188889,-64.79855556,961,24,0.024365482,298,0.310093652,4.155046826
1998,25.79325,-80.29055556,63691,1243,0.019142514,25208,0.395785904,9.532320108
1998,26.22850611,-97.65439389,4093,77,0.018465228,1486,0.363058881,8.218910335
1998,27.39533333,-82.55411111,5901,84,0.014035088,1952,0.330791391,6.199627182
1998,27.77036083,-97.50121528,3028,39,0.012716009,847,0.279722589,7.98678996
1998,32.89595056,-97.0372,238515,5498,0.022531586,118624,0.497343983,8.786218896
1998,32.89864639,-80.04050583,7133,98,0.013552759,2466,0.34571709,5.831347259
1998,33.82921556,-116.5062531,4177,39,0.009250474,1185,0.283696433,6.609288963
1998,36.89461111,-76.20122222,15828,493,0.030206482,4981,0.314695476,5.722011625
1998,37.72129083,-122.2207167,55159,843,0.015053034,21227,0.384832938,8.27699922
1998,38.94453194,-77.45580972,42652,1346,0.0305923,20276,0.475382163,9.581567101
1998,39.85840806,-104.6670019,134002,2347,0.017213181,71160,0.53103685,9.917128103
1998,41.30251861,-95.89417306,16341,298,0.01790973,5291,0.323786794,7.423474696
1998,41.41089417,-81.84939667,59657,1418,0.023217356,19469,0.326348962,6.544462511
1998,41.53493306,-93.66068222,6864,159,0.022639897,1723,0.251019814,5.933566434
1998,41.72399917,-71.42822111,21446,297,0.013659569,7645,0.356476732,6.347104355
1998,42.88081972,-85.52276778,8398,521,0.05841462,2493,0.296856394,5.065253632
1998,44.48507333,-88.12959,2377,190,0.074016362,543,0.228439209,5.32309634
1998,46.91934889,-96.81498889,2192,193,0.080922432,425,0.193886861,3.78330292
1998,58.42438139,-135.7073814,104,1,0.00952381,39,0.375,7.548076923
1998,60.77977639,-161.8379975,951,33,0.033536585,312,0.32807571,7.804416404
2006,18.33730556,-64.97336111,2933,36,0.012125295,929,0.316740539,5.720763723
