"year","state","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
2006,LA,59302,1195,0.019753045605567218,20456,0.34494620754780614,9.058210515665577
2006,ME,11469,385,0.032478488274000336,4338,0.37823698665969135,14.020141250326969
2006,MS,20331,450,0.021654395842355997,7433,0.36559933107077863,10.138507697604643
2006,VT,6695,174,0.02533119813655554,2643,0.39477221807318896,13.816280806572069
1998,IN,37508,1084,0.02808872305140962,12601,0.33595499626746295,6.988829049802709
1998,MI,160033,12297,0.07135727963790402,82693,0.5167246755356708,13.11268925784057
1998,NM,35959,361,0.00993942731277533,12969,0.36066075252370755,7.913178898189605
1998,UT,83585,1499,0.017617883503361385,35647,0.4264760423520967,7.001806544236406
2006,CA,848671,12123,0.014083508946391356,339297,0.399798037166346,8.143741214204326
2006,CO,266228,5632,0.020716545280659162,112876,0.4239824511321123,9.880286821821898
2006,DE,297,13,0.041935483870967745,122,0.4107744107744108,13.942760942760943
2006,ID,27258,301,0.010922021844043688,6985,0.2562550443906376,2.852263555653386
2006,KS,12301,471,0.036877544628875665,4198,0.3412730672303065,9.777335176001952
2006,MT,22061,331,0.014782065023222579,5980,0.27106658809664114,2.446897239472372
2006,NC,195130,3386,0.01705655967277197,84441,0.4327422743811818,11.122702813508942
2006,NJ,154530,4577,0.028766804728893133,69444,0.4493884682585906,15.46045428072219
2006,PR,26752,263,0.009735332222839163,8033,0.30027661483253587,6.885765550239235
2006,WY,8140,143,0.017264276228419653,2298,0.2823095823095823,5.176044226044226
1998,AK,42328,1470,0.03356317640074889,13974,0.33013608013608015,8.63952938952939
1998,AR,13080,217,0.016319470557268557,4528,0.346177370030581,7.012844036697247
1998,IA,12702,536,0.04048949992445989,2948,0.23208943473468746,5.25366084081247
1998,OK,38365,493,0.012687220134849967,11791,0.3073374169164603,6.660367522481429
1998,OR,58157,1214,0.020447693318286705,22963,0.39484498856543493,9.190518768162043
1998,PA,232636,6679,0.02790882309926248,107544,0.4622844271737822,8.616224488041404
1998,RI,21446,297,0.01365956859678977,7645,0.35647673225776366,6.3471043551244986
1998,TX,593884,11416,0.018860069387080788,252595,0.42532716826855077,8.202766870297904
1998,WA,111632,2315,0.02031646291697017,45404,0.4067292532607138,9.287829654579332
1998,WV,1593,132,0.07652173913043478,351,0.22033898305084745,2.105461393596987
2006,IL,480744,14957,0.030173431161123337,234757,0.48832018704341607,16.749918875742598
2006,MN,128688,1403,0.010784758361454674,49386,0.38376538604998134,7.918127564341663
2006,ND,8963,197,0.021506550218340612,2054,0.22916434229610622,4.6431998214883405
2006,NY,322049,8521,0.025776688749735304,126871,0.39394936795332386,11.587820486944533
2006,OH,146489,2423,0.01627135489416568,46317,0.31618073712019334,8.217716005979971
2006,SC,41479,1221,0.028594847775175646,13737,0.3311796330673353,11.445261457605053
2006,TN,121975,2013,0.016235442139561893,45282,0.3712400081984013,9.42213568354171
2006,VA,237402,5899,0.024245687440659924,86693,0.3651738401529894,10.965021356180655
