"year","manufacturer","model","num_flight","num_cancl","r_cancl","num_dely","r_dely","avg_dely"
2006,MCDONNELL DOUGLAS,DC-9-83(MD-83),52097,269,0.005136920902875912,21135,0.4056855481121754,11.468357103096148
2006,RAVEN,S-50A,1351,0,0.0,527,0.39008142116950406,13.934122871946705
2006,WOBIG WAYNE R,FALCON-XP,1399,0,0.0,522,0.37312365975696926,8.864903502501788
1998,AGUSTA SPA,A109E,176,0,0.0,78,0.4431818181818182,11.301136363636363
1998,BEECH,65-A90,688,0,0.0,305,0.4433139534883721,9.024709302325581
1998,BOEING,737-3G7,30593,565,0.0181333846845112,11392,0.37237276501160393,10.954074461478116
1998,BOEING,737-4Q8,40230,0,0.0,15096,0.37524235645041015,8.434725329356201
1998,BOEING,737-522,66169,53,8.003382561686448E-4,32825,0.49607822394172496,13.337046048753948
1998,BOEING,747-422,457,1,0.002183406113537118,398,0.8708971553610503,29.91247264770241
1998,BOEING,757-223,23853,0,0.0,9906,0.4152936737517293,7.9901899132184635
1998,BOEING,757-232,135822,1928,0.013996370235934663,75486,0.5557715244952953,7.442402556286905
1998,BOEING,757-2Q8,8972,3,3.342618384401114E-4,3499,0.38999108337048594,10.524074899687918
1998,CESSNA,550,1322,0,0.0,509,0.38502269288956126,7.591527987897125
1998,STINNETT RON,FALCON XP,1304,0,0.0,506,0.3880368098159509,6.276840490797546
2006,AERO COMMANDER,690A,252,0,0.0,114,0.4523809523809524,14.837301587301587
2006,AIRBUS,A319-114,45296,287,0.00629620691924621,14510,0.320337336630166,4.560954609678559
2006,AIRBUS,A319-132,11674,79,0.006721688079639241,4631,0.3966935069384958,6.145023128319342
2006,AIRBUS,A330-223,2,0,0.0,2,1.0,64.5
2006,AIRBUS INDUSTRIE,A319-131,64434,30,4.6537602382725244E-4,23658,0.3671664028308036,11.21794394263898
2006,AIRBUS INDUSTRIE,A320-214,14036,0,0.0,6407,0.45646907950983184,7.833428327158734
2006,AIRBUS INDUSTRIE,A320-232,173537,342,0.001966885017742223,73209,0.4218639252724203,11.298553046324415
2006,BEECH,60,1359,0,0.0,483,0.3554083885209713,9.590875643855776
2006,BELL,206B,1464,0,0.0,541,0.36953551912568305,10.083333333333334
2006,BOEING,737-322,98128,49,4.990985668741152E-4,40198,0.4096486222077287,13.786829447252568
2006,BOEING,737-3H4,234976,0,0.0,115438,0.49127570475282584,10.921289833855372
2006,BOEING,737-490,23376,327,0.013795722060498672,9511,0.4068702943189596,8.195071868583161
2006,BOEING,737-724,30213,0,0.0,10932,0.361830999900705,8.513388276569689
